Id	Spelling	Transcription	IsKeyComponent
L14S08W01	tog	 tog 	0
L14S08W02	arton	 arton 	0
L14S08W03	fina	 fina 	0
L14S08W04	skålar	 skålar 	0
L14S09W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L14S09W01	flyttar	 flyttar 	0
L14S09W02	fyra	 fyra 	0
L14S09W03	vackra	 vackra 	0
L14S09W04	vantar	 vantar 	0
L15S00W00	Bosse	 b ² ʊ sː . e̞ 	0
L15S00W01	tog	 tog 	0
L15S00W02	åtta	 åtta 	0
L15S00W03	mörka	 mörka 	0
L15S00W04	pennor	 pennor 	0
L15S01W00	Elsa	 ² ɛ̝ lː . s a 	0
L15S01W01	har	 har 	0
L15S01W02	tolv	 tolv 	0
L15S01W03	hela	 hela 	0
L15S01W04	bollar	 bollar 	0
L15S02W00	Svante	 s v ² a nː . t e̞ 	0
L15S02W01	gav	 gav 	0
L15S02W02	nio	 nio 	0
L15S02W03	fina	 fina 	0
L15S02W04	korgar	 korgar 	0
L15S03W00	Märta	 m ² ɛ̝ ʈː . a 	0
L15S03W01	ägde	 ägde 	0
L15S03W02	sex	 sex 	0
L15S03W03	lätta	 lätta 	0
L15S03W04	knappar	 knappar 	0
L15S04W00	Anna	 ² a nː . a 	0
L15S04W01	höll	 höll 	0
L15S04W02	arton	 arton 	0
L15S04W03	nya	 nya 	0
L15S04W04	skålar	 skålar 	0
L15S05W00	Karin	 k ² ɑː . r ɪ n 	0
L15S05W01	visar	 visar 	0
L15S05W02	fyra	 fyra 	0
L15S05W03	svarta	 svarta 	0
L15S05W04	ringar	 ringar 	0
L15S06W00	Jonas	 ʝ ² uː . n a s 	0
L15S06W01	lånar	 lånar 	0
L15S06W02	tre	 tre 	0
L15S06W03	vackra	 vackra 	0
L15S06W04	lådor	 lådor 	0
L15S07W00	Britta	 b r ² ɪ tː . a 	0
L15S07W01	flyttar	 flyttar 	0
L15S07W02	två	 två 	0
L15S07W03	gamla	 gamla 	0
L15S07W04	vantar	 vantar 	0
L15S08W00	Peter	 p ˈ eː . t e̞ r 	0
L15S08W01	ser	 ser 	0
L15S08W02	sju	 sju 	0
L15S08W03	stora	 stora 	0
L15S08W04	dukar	 dukar 	0
L15S09W00	Gustav	 ɡ ² ɵ sː . t ɑ v 	0
L15S09W01	köpte	 köpte 	0
L15S09W02	elva	 elva 	0
L15S09W03	ljusa	 ljusa 	0
